variant,seed,best_val_sharpe,best_return_pct,best_mdd_pct,best_n_trades,best_n_cycles,final_val_sharpe,final_return_pct,final_mdd_pct,final_n_trades,final_n_cycles,wallclock_sec
sym,42,1.7629883531984398,6.024797389642371,3.9070305852498493,114,51,0.8979999029757852,5.380262931930834,8.797630755073866,85,33,423.7
sym,43,1.4742870988417638,6.091277220668631,3.270137439449144,132,61,0.1888608993489563,1.723718556255496,6.130726824934958,139,62,252.0
sym,44,1.2267682095274937,4.821824031440545,3.2149309251346123,142,67,0.09416748217029185,0.8601403199709189,12.144411043934317,126,52,231.4
sym,45,1.7415498960644193,5.372720040038395,3.110727795657721,98,45,0.9039150764576117,1.7674707483571601,4.285592454801998,75,34,424.2
sym,46,1.6741763110344074,5.787299794922604,4.0013161743046215,93,42,1.6991227218622664,5.914696397108138,4.107938385038006,82,37,429.3
sym,47,1.8206280895340172,6.129436280132267,3.0034613928311016,123,56,1.1352101086372257,4.567385925983369,6.459484082417423,101,44,427.1
sym,48,1.4526860718661883,5.254906070611613,2.7201870964244237,124,59,0.7759566317594001,3.0814987789174757,4.17823741085372,118,55,271.6
sym,49,2.3260562299110097,8.525262207470124,3.943368844845325,118,54,1.2665888469337065,4.9969506044353205,6.150420849907962,115,51,415.6
sym,50,1.689918266709828,6.511448376150088,4.8590970691771105,106,47,1.0655472439147176,5.510211342807683,7.974884262671144,95,37,416.2
sym,51,1.4121356780458858,5.108662055281622,2.677661510340463,129,61,1.0725420271505377,3.9562919912391834,3.317623822725131,106,50,246.0
asym,42,1.4980483073132103,3.918219127163975,2.007090127788867,55,27,0.9502285039576623,1.5583903663263765,1.6717186610218764,21,10,366.0
asym,43,1.4783416811948598,5.447586874991183,2.5764855955706265,123,58,1.184594963553962,3.1210893366042454,2.1918977471298,46,22,266.1
asym,44,1.4700810240215452,3.0323938100828784,1.7077124448294707,43,21,0.7918546756216345,1.1116378883356814,1.6829597555716318,19,9,412.8
asym,45,1.6604350249688984,4.220499529108735,1.9042095946426194,59,28,0.9061595627682081,1.4690550667240678,1.685561505052806,20,10,353.6
asym,46,1.5018991605457332,4.862848328731073,2.5489455861495065,97,46,1.1872591041252079,2.978912528198296,2.0929623076636807,36,17,293.3
asym,47,1.3053050713678422,4.320457235919141,2.6679613811666347,119,57,0.5475374971718182,0.7966380391148764,2.0062824469840166,23,11,270.4
asym,48,1.3707571687717615,5.04494217735908,2.522876545630994,117,55,1.0505974835184315,2.4865813826889416,2.1135224231894667,44,21,250.0
asym,49,1.437725384742323,5.249857296525039,2.6285618131374746,116,54,1.3280543809501204,2.7370587019953674,1.9741689912601388,41,20,231.6
asym,50,1.601138138925536,4.261433149824474,1.9867068294147632,53,26,0.6866121424407127,0.9810049723006786,1.6857995319212926,18,9,423.3
asym,51,1.4606215620994702,4.493182531034374,2.277683073950397,79,37,1.1689240110917107,2.079699572519793,1.9248162772907769,31,15,396.8
dsr,42,1.6287617987529823,9.899815696874976,8.839242034468967,82,30,0.8615807285430733,5.9762620543957885,11.462564258498308,78,26,430.1
dsr,43,1.3951171532381643,5.138212368941116,2.918284885921108,113,52,1.0574170829800005,3.6451374845674662,4.931871354079193,98,43,357.8
dsr,44,1.1856710001512958,4.856765965810896,3.8901946141279082,140,64,1.1017908571643347,6.4518832008201485,6.598759829482139,127,52,231.5
dsr,45,1.5034030591297733,5.743851978864438,2.9700412947458807,135,63,0.8447930325283458,4.06881864107797,7.661032549358585,87,32,251.8
dsr,46,2.0272484000297952,11.30739975948919,5.324144788224293,83,30,0.7752303712760455,3.497297925551848,13.37686691483951,65,20,387.1
dsr,47,1.8973207665835634,9.241230084620193,6.426344988627531,76,30,1.4326804321309499,9.075039745232026,7.771950796887694,69,25,430.4
dsr,48,1.2438340339142235,5.0187097563601935,2.943442242918692,137,65,0.4187092718003783,1.90451505739303,4.105020868545807,85,40,234.1
dsr,49,1.515994755453714,5.567851307972796,2.451810869171502,128,60,0.5777102904435136,3.5431387700865997,6.956918993284449,118,50,400.1
dsr,50,1.5026730388745508,5.7107517606835385,3.2701377785039774,129,58,0.9123158986545847,7.106126150133633,13.974854717543035,102,37,398.4
dsr,51,1.6050017848989497,12.361466785896603,9.740789209080907,82,27,0.7559511960869127,5.831494207769575,14.181234293467659,85,27,428.8
pt,42,1.503165262312581,4.524152673957826,2.3259520516517624,93,45,1.0643331232264248,1.9143047743110422,1.6688647608437133,24,12,277.5
pt,43,1.4679274967835125,4.128339319625132,2.534381285187763,72,34,0.9281008837011363,1.985921482310686,2.1092128925056266,24,11,332.8
pt,44,1.398313460045958,3.82203788805849,2.2132154348192796,51,24,0.712556937028112,0.9764018021393328,1.6992765438504818,18,9,367.8
pt,45,1.6376000859666557,4.16844280239808,1.9746726754398485,55,27,1.1271185361338714,2.459018599895257,1.944462925565783,25,12,326.6
pt,46,1.514872367196252,4.250253416834397,2.442761964860278,71,33,0.8762795018889694,1.798356972823025,1.9212772269289833,22,11,328.4
pt,47,1.3013035675598517,4.117765923700742,2.7661807989168192,117,56,0.6796099295161072,1.0759799087437605,2.105255954671935,19,9,247.4
pt,48,1.4269434856568919,4.249925481648702,2.259172353629232,64,31,1.108750323131209,2.2145814637915717,2.0620583168124336,27,13,327.4
pt,49,1.4219675684058792,5.116173148700649,2.6505595002750058,114,54,1.1692873101777637,1.9826764433143886,1.5628939624846918,29,14,228.5
pt,50,1.5476183895565214,4.411660006418929,2.0010682688929946,62,30,0.8321276373401769,1.333113843413991,1.6483384988616876,19,9,373.5
pt,51,1.373418707739655,3.7419998948617534,2.265245478032651,74,35,1.1759190288900845,2.400586598990786,1.9312852798484283,27,13,353.4
