number,value,datetime_start,datetime_complete,duration,params_A_b,params_A_s,params_B_b,params_B_s,params_C_b,params_C_s,params_D_b,params_D_s,state
0,14.943667194130565,2026-04-20 09:10:42.003855,2026-04-20 09:16:19.602091,0 days 00:05:37.598236,1.1861663446573514,0.5524540572830658,7.605714451279329,1.2479561626896212,9.051933359925457,1.638919733850194,15.769145136531842,21.92205135282351,COMPLETE
1,-999.0,2026-04-20 09:16:19.712796,2026-04-20 09:16:19.807723,0 days 00:00:00.094927,1.8432335340553057,2.514083658321223,5.664580622368364,1.6987128854262092,1.226429437253827,3.0000746392781066,24.30792659972587,6.218303726628978,COMPLETE
2,4.618941307237272,2026-04-20 09:16:19.902803,2026-04-20 09:21:50.973365,0 days 00:05:31.070562,0.9823025045826593,1.8743733946949006,4.198051453057903,1.1159508852163347,5.7513952050632735,4.2135911338874,8.698270224554964,10.426322395754909,COMPLETE
3,4.129360452595774,2026-04-20 09:21:51.091618,2026-04-20 09:27:27.755047,0 days 00:05:36.663429,1.4226029542294043,1.8180022496999233,6.281407691144109,0.3716033017599818,3.196411603741957,7.682993370915822,13.827392083513066,5.922054844807706,COMPLETE
4,12.579753874936317,2026-04-20 09:27:27.894355,2026-04-20 09:33:06.757891,0 days 00:05:38.863536,0.2886496196573106,0.983379930602775,7.591084298026666,0.781376912051071,11.621952363820153,8.526563291633725,20.593139006678605,12.12350735601083,COMPLETE
5,10.78888635207237,2026-04-20 09:33:06.887336,2026-04-20 09:39:01.943693,0 days 00:05:55.056357,0.45391088104985855,0.850461946640049,3.9614152808901615,5.300178274831856,1.3782737322674024,4.42882183698352,22.914369247811987,13.96156448708965,COMPLETE
6,2.1285282822379052,2026-04-20 09:39:02.090614,2026-04-20 09:45:02.761271,0 days 00:06:00.670657,1.685459810095511,2.8245469305361484,1.4788356442042163,7.158618803421191,11.665430905410144,7.576899766921937,19.828054937305634,23.203107405531686,COMPLETE
7,11.193414820321708,2026-04-20 09:45:02.897982,2026-04-20 09:51:03.743243,0 days 00:06:00.845261,0.3566282559505666,1.227164140099498,1.5678628993531616,2.1707922541911673,1.4975001780159187,10.116112600671222,9.48259760755508,10.205326513952553,COMPLETE
8,-999.0,2026-04-20 09:51:03.854085,2026-04-20 09:51:03.949124,0 days 00:00:00.095039,0.9147100780934042,0.3161968666713354,4.341568665265988,7.895095492804138,2.5501664747223893,9.494692462263231,20.450530557342912,6.570460675285966,COMPLETE
9,4.853384997302323,2026-04-20 09:51:04.060072,2026-04-20 09:57:07.740472,0 days 00:06:03.680400,0.11601413965844697,2.336684005389243,6.523691427638673,0.5923572138727229,8.775430782323788,4.943123013986998,18.767164864942707,4.664988369077983,COMPLETE
10,7.620291099401238,2026-04-20 09:57:07.871838,2026-04-20 10:03:12.002683,0 days 00:06:04.130845,2.6961313498275867,0.14456643825150245,0.047977463646538876,3.5046474196946398,8.217683334114902,1.1665866081303256,2.4131231391408594,24.45121769673389,COMPLETE
11,6.98007913515235,2026-04-20 10:03:12.138483,2026-04-20 10:09:13.623366,0 days 00:06:01.484883,2.372525901332149,0.7769967162651079,7.966358842043013,3.1605404296792843,11.95095127440921,11.438343576213253,15.627460267849477,18.615874888539842,COMPLETE
12,11.976734044439684,2026-04-20 10:09:13.764413,2026-04-20 10:15:16.346589,0 days 00:06:02.582176,0.8818022757676154,0.8578432630961376,7.985048944959121,0.07448924455311035,9.894055819835229,6.155757407766264,16.7595644446788,17.01166760517456,COMPLETE
13,14.757022791623621,2026-04-20 10:15:16.490413,2026-04-20 10:21:43.624588,0 days 00:06:27.134175,1.2568962479641592,0.5430950211121348,6.937686894603875,5.286845802338293,9.99248732366063,1.316334606795318,10.484931821215117,20.20558319831806,COMPLETE
14,16.033117932836216,2026-04-20 10:21:43.765610,2026-04-20 10:27:46.354421,0 days 00:06:02.588811,1.3208954181365742,0.44540344549616845,5.344267393441864,5.814005097683029,6.4679393297193775,1.1630321352009514,10.141840971114348,20.72405718347866,COMPLETE
15,6.268269740241374,2026-04-20 10:27:46.474873,2026-04-20 10:31:38.200795,0 days 00:03:51.725922,2.0375805831582654,1.389913566347511,5.254575369227499,5.272228838471792,6.059605756883863,2.5710793956523483,5.8077944718636925,20.276843374578043,COMPLETE
16,16.851539880979754,2026-04-20 10:31:38.358053,2026-04-20 10:37:41.278487,0 days 00:06:02.920434,1.2259849562450635,0.5105943007918188,3.042342644770753,4.4059073328657945,4.525238313895591,2.4440875038989027,11.869639050545413,15.784859404858366,COMPLETE
17,7.86375041827894,2026-04-20 10:37:41.389400,2026-04-20 10:43:13.067343,0 days 00:05:31.677943,1.612248992170826,0.10267751875585929,2.9986003864095703,6.333588950129155,4.607838536153084,3.138620163302103,11.902826461924437,15.791739421651354,COMPLETE
18,3.3871053372672018,2026-04-20 10:43:13.187356,2026-04-20 10:46:48.711603,0 days 00:03:35.524247,0.7279068925078482,1.6662755583294218,2.973808096608921,4.225394040234925,4.547967732311308,5.636541450767961,6.574036673631539,15.559361347555061,COMPLETE
19,5.144824802310525,2026-04-20 10:46:48.840830,2026-04-20 10:50:24.341593,0 days 00:03:35.500763,2.16999806936815,1.1854103482606535,2.9056733935008072,4.23008640277356,7.338240853250499,2.4047626132385216,12.794964158562712,17.98804733253037,COMPLETE
20,12.177769491075129,2026-04-20 10:50:24.467716,2026-04-20 10:56:00.229922,0 days 00:05:35.762206,1.3717909595766768,0.5152455539960966,5.319752507941696,6.183889489344757,4.885683855937092,3.4741348565888894,6.631363281226307,20.724922057005564,COMPLETE
21,14.976299156229562,2026-04-20 10:56:00.346006,2026-04-20 11:01:29.633231,0 days 00:05:29.287225,1.169975869237026,0.5270579430337092,2.1554731877275897,2.816659428201573,6.861414338359391,1.7337699363009567,14.86428224977396,22.588984841856686,COMPLETE
22,23.00784096816551,2026-04-20 11:01:29.743809,2026-04-20 11:06:58.713288,0 days 00:05:28.969479,0.6484134526237705,0.3698499575824934,1.942525920283238,2.4538817069413277,6.152170202033142,2.0204558200933915,14.719804975364264,24.38887024365531,COMPLETE
23,22.838465890747962,2026-04-20 11:06:58.823354,2026-04-20 11:12:25.547850,0 days 00:05:26.724496,0.6288290967264393,0.3594810236211829,0.5270077845772487,4.583779452082015,3.5023482043381486,3.640309603807326,11.334636996544742,24.75760887723864,COMPLETE
24,22.792959419673046,2026-04-20 11:12:25.677604,2026-04-20 11:18:20.531517,0 days 00:05:54.853913,0.6249425426526555,0.3048650315919683,0.32583691146179583,4.559243805037922,3.5892612068631893,3.8894446701186745,12.00630938988936,24.74648564784041,COMPLETE
25,23.699190867127673,2026-04-20 11:18:20.670667,2026-04-20 11:24:29.318784,0 days 00:06:08.648117,0.6131621099012576,0.2552477797600048,0.0442096457346875,2.4265990522548906,3.2564088024783877,3.9239179968230786,17.696332603213147,24.98651036401676,COMPLETE
26,8.788355281745963,2026-04-20 11:24:29.464868,2026-04-20 11:28:14.183418,0 days 00:03:44.718550,0.6536324127449908,1.0982660313118835,0.7914974480150301,2.3159703415289874,2.7199063984189014,5.766553492435273,17.78879196069926,24.980231017192594,COMPLETE
