variant,vol_regime,n_steps,trade_rate,hold_rate,mean_reward
asym,low_vol,86050,0.05757117954677513,0.03631609529343405,-0.00010508751746592791
asym,mid_vol,88650,0.04406091370558376,0.027805978567399886,-8.890844033219129e-05
asym,high_vol,86040,0.037691771269177124,0.023186889818688983,-4.976842345142675e-05
dsr,low_vol,86050,0.0727251597908193,0.14246368390470657,-0.08745717475761909
dsr,mid_vol,88650,0.0572927241962775,0.12012408347433728,-0.08945306713106353
dsr,high_vol,86040,0.04679218967921897,0.1198512319851232,-0.02213684021766546
pt,low_vol,86050,0.049006391632771644,0.03115630447414294,-0.000439866926350021
pt,mid_vol,88650,0.036852791878172586,0.023350253807106598,-0.0003357593995618536
pt,high_vol,86040,0.03181078568107857,0.019642026964202697,-0.00015349456552443425
sym,low_vol,86050,0.07286461359674608,0.07356188262638001,-5.014915143332663e-06
sym,mid_vol,88650,0.058341793570219964,0.05784545967287084,-1.7257026210328445e-06
sym,high_vol,86040,0.04711761971176197,0.04767549976754998,4.979781856549533e-05
