variant,env,n,mean,atr,p_gt_atr,ci95_low,ci95_high,atr_ref
sym,Val (single-split),10,1.870878108328234,1.378,1.0,1.746062010780583,2.0093141650603594,Val 1.378
sym,Slippage 0.02%,10,1.6581194204733454,1.378,1.0,1.4932713485968883,1.8463881080178377,Val 1.505 (caveat: ATR not retrained with slippage)
sym,CPCV (15 paths test),15,1.3019885606191168,1.378,0.2603,1.0785735544118842,1.5396133405346675,Val 1.505 (caveat: ATR not per-path)
sym,"Test (OOS, exp032b)",10,0.09021733159605434,-0.055,1.0,0.02108818784196719,0.15253553403784753,Test -0.055
sym,"Test (OOS, exp034)",15,0.0007049545669046401,-0.055,0.8775,-0.09044194231256752,0.09918774724563553,Test -0.055
asym,Val (single-split),10,1.6812642891792304,1.378,1.0,1.6244581675653655,1.742626520201584,Val 1.378
asym,Slippage 0.02%,10,1.478435252395118,1.378,0.9997,1.419497898725242,1.5386318141768351,Val 1.505 (caveat: ATR not retrained with slippage)
asym,CPCV (15 paths test),15,1.043330704381769,1.378,0.0028,0.8260639624549235,1.2842280798851908,Val 1.505 (caveat: ATR not per-path)
asym,"Test (OOS, exp032b)",10,0.1733432499864042,-0.055,1.0,0.06101291647808874,0.29566052141879684,Test -0.055
asym,"Test (OOS, exp034)",15,0.17489229407119564,-0.055,1.0,0.060357572222505984,0.3007325974863089,Test -0.055
dsr,Val (single-split),10,1.8091730534226247,1.378,1.0,1.6876127059030124,1.9271515509071329,Val 1.378
dsr,Slippage 0.02%,10,1.5505025791027012,1.378,0.9894,1.4014437993563686,1.706751027527996,Val 1.505 (caveat: ATR not retrained with slippage)
dsr,CPCV (15 paths test),15,1.412917675353882,1.378,0.6491,1.2252530812210767,1.590735299592856,Val 1.505 (caveat: ATR not per-path)
dsr,"Test (OOS, exp032b)",10,-0.12217102844629535,-0.055,0.1254,-0.23736864144400263,-0.009681608443486504,Test -0.055
dsr,"Test (OOS, exp034)",15,0.07029319479969423,-0.055,0.9734,-0.05651515069967538,0.19097081503035787,Test -0.055
pt,Val (single-split),10,1.6665404385304892,1.378,1.0,1.6112522304350294,1.7195936163615908,Val 1.378
pt,Slippage 0.02%,10,1.4593130391223759,1.378,0.9974,1.404120195840466,1.5170320024783817,Val 1.505 (caveat: ATR not retrained with slippage)
pt,CPCV (15 paths test),15,1.092538681548013,1.378,0.0143,0.8575978296574412,1.3492260095718323,Val 1.505 (caveat: ATR not per-path)
pt,"Test (OOS, exp032b)",10,0.3666751556850374,-0.055,1.0,0.2037598849370799,0.5414164094007589,Test -0.055
pt,"Test (OOS, exp034)",15,0.3389117680699837,-0.055,1.0,0.196385624215897,0.4937425553546871,Test -0.055
